"","airport1","airport2","airline","cnt"
"319","CID","DEN","UA",56.9166666666667
"320","IAD","FLL","UA",56.9166666666667
"321","BWI","DEN","UA",56.75
"322","DEN","BWI","UA",56.6666666666667
"323","ORD","OMA","UA",56.5833333333333
"324","CMH","DEN","UA",56.5
"325","DEN","DTW","UA",56.4166666666667
"326","DEN","MSY","UA",56.4166666666667
"327","DTW","DEN","UA",56.4166666666667
"328","EWR","PDX","UA",56
"329","PDX","EWR","UA",55.8333333333333
"330","OMA","DEN","UA",55.4166666666667
"331","FLL","DEN","UA",55.3333333333333
"332","DEN","FLL","UA",55.1666666666667
"333","SFO","BNA","UA",55.0833333333333
"334","BNA","SFO","UA",55
"335","SFO","ATL","UA",55
"336","ATL","SFO","UA",54.9166666666667
"337","IAH","SJU","UA",54.8333333333333
"338","SJU","IAH","UA",54.75
"339","SFO","PHL","UA",54.5833333333333
"340","PHL","SFO","UA",54.5
"341","IAH","MFE","UA",54.25
"342","MFE","IAH","UA",54.1666666666667
"343","ORD","DSM","UA",53.6666666666667
"344","KOA","LAX","UA",53.5833333333333
"345","LAX","KOA","UA",53.5833333333333
"346","DSM","ORD","UA",53.5
"347","IAH","CLE","UA",53.5
"348","DEN","ONT","UA",53.1666666666667
"349","LAX","MCO","UA",53.1666666666667
"350","ONT","DEN","UA",53.1666666666667
"351","ORD","SAT","UA",53.1666666666667
"352","DEN","CVG","UA",53.0833333333333
"353","CVG","DEN","UA",53
"354","MCO","LAX","UA",53
"355","EWR","SJU","UA",52.9166666666667
"356","SJU","EWR","UA",52.9166666666667
"357","CMH","ORD","UA",52.8333333333333
"358","RDU","SFO","UA",52.75
"359","SFO","RDU","UA",52.6666666666667
"360","SAT","DEN","UA",52.25
"361","ORD","ORF","UA",51
"362","BUF","ORD","UA",50.4166666666667
"363","EWR","CLT","UA",50.3333333333333
"364","ORD","BUF","UA",50.3333333333333
"365","DEN","PSP","UA",50.1818181818182
"366","BNA","IAH","UA",50
"367","SFO","BWI","UA",49.8333333333333
"368","BWI","SFO","UA",49.75
"369","LAX","CLE","UA",49.5
"370","CLE","LAX","UA",49.4166666666667
"371","ORD","SLC","UA",49.2
"372","ORD","BNA","UA",48.6666666666667
"373","SAT","ORD","UA",48.6666666666667
"374","DEN","SAT","UA",48.5833333333333
"375","SFO","PIT","UA",48.3333333333333
"376","PIT","SFO","UA",48.25
"377","DEN","ABQ","UA",48.0833333333333
"378","ABQ","DEN","UA",48
"379","IAH","MAF","UA",48
"380","MAF","IAH","UA",47.9166666666667
"381","SFO","CLE","UA",47.9166666666667
"382","CLE","SFO","UA",47.8333333333333
"383","BNA","ORD","UA",47.75
"384","CLE","EWR","UA",47.25
"385","DEN","CMH","UA",47.25
"386","IAD","BNA","UA",47.0833333333333
"387","DSM","DEN","UA",47
"388","ORD","ATL","UA",47
"389","CHS","ORD","UA",46.8333333333333
"390","DEN","DSM","UA",46.8333333333333
"391","ATL","DEN","UA",46.75
"392","BNA","IAD","UA",46.75
"393","ORD","CHS","UA",46.75
"394","IAH","BNA","UA",46.5
"395","SFO","DFW","UA",46.5
"396","IAH","SJC","UA",46.3333333333333
"397","SJC","IAH","UA",46.3333333333333
"398","PSP","SFO","UA",45.75
"399","IAH","MEM","UA",45.4166666666667
"400","PSP","DEN","UA",45.3636363636364
"401","MEM","IAH","UA",45.3333333333333
"402","ORD","MSN","UA",45.3333333333333
"403","MSN","ORD","UA",45.1666666666667
"404","EUG","SFO","UA",45.0833333333333
"405","DEN","GRR","UA",44.8333333333333
"406","GRR","DEN","UA",44.8333333333333
"407","DFW","SFO","UA",44.5
"408","IAD","RSW","UA",44.3333333333333
"409","DEN","MSO","UA",44
"410","MSO","DEN","UA",44
"411","RSW","IAD","UA",44
"412","JAC","ORD","UA",43.7777777777778
"413","ORD","JAC","UA",43.7777777777778
"414","IAH","SLC","UA",43.6363636363636
"415","DEN","FCA","UA",43.4285714285714
"416","SFO","EUG","UA",43.3333333333333
"417","FCA","DEN","UA",43.2857142857143
"418","BZN","ORD","UA",43.0909090909091
"419","ORD","BZN","UA",43.0909090909091
"420","TPA","SFO","UA",42.8333333333333
"421","SFO","TPA","UA",42.75
"422","DEN","BUR","UA",42.4285714285714
"423","BUR","DEN","UA",42.2857142857143
"424","IAD","SAT","UA",42.1666666666667
"425","SAT","IAD","UA",42.1666666666667
"426","ANC","DEN","UA",42
"427","DEN","ANC","UA",42
"428","ORF","ORD","UA",41.9090909090909
"429","SBA","DEN","UA",41.8888888888889
"430","LAX","LIH","UA",41.6666666666667
"431","LIH","LAX","UA",41.6666666666667
"432","CHS","EWR","UA",41.5
"433","ORD","SJC","UA",41.5
"434","EWR","CHS","UA",41.25
"435","SFO","PSP","UA",41.25
"436","SJC","ORD","UA",41.25
"437","RDU","IAH","UA",41.1666666666667
"438","TUS","IAH","UA",40.7142857142857
"439","ORD","SYR","UA",40.6666666666667
"440","SYR","ORD","UA",40.6666666666667
"441","COS","DEN","UA",40.4285714285714
"442","DEN","COS","UA",40.4285714285714
"443","STL","ORD","UA",39.8571428571429
"444","CLT","EWR","UA",39.6666666666667
"445","IAD","AUS","UA",39.6666666666667
"446","IAD","BSM","UA",39.6666666666667
"447","GUM","SPN","UA",39.4166666666667
